epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1
1,0.4816775466689357,0.8286851851851852,0.8274790062409956,0.3630225621064504,0.8685,0.8658472807790478
2,0.3595199240446091,0.8697407407407407,0.8691137220321057,0.33459688707192736,0.8776666666666667,0.8765944520971406
3,0.3223620775319912,0.8800555555555556,0.8796553502270047,0.3051129363377889,0.89,0.8895313350420853
4,0.29345688313908047,0.8912222222222222,0.8907780547009901,0.3122447745402654,0.889,0.889584406679077
5,0.27262742525559885,0.8985925925925926,0.8983260180503218,0.2993635649681091,0.8871666666666667,0.88565501458668
6,0.2590105055261541,0.9038333333333334,0.9035547119080546,0.2955597635904948,0.8941666666666667,0.8936395829306909
7,0.24250192787029126,0.9079814814814815,0.9077239210362146,0.30609902572631836,0.8871666666666667,0.8874617129157549
8,0.23053730890485977,0.9140370370370371,0.9139050742848205,0.286993133465449,0.8956666666666667,0.8947434835973272
9,0.21951594372148867,0.9165185185185185,0.916320102321062,0.2828084623813629,0.8986666666666666,0.898619065041631
10,0.2075385215414895,0.9224444444444444,0.9222378777463787,0.28011189619700116,0.9006666666666666,0.9013184634989269
11,0.19924006474459613,0.9253703703703704,0.9251997996818029,0.3260663181145986,0.8875,0.8898233920869277
12,0.18678969449467128,0.929037037037037,0.9289059190857187,0.28612221761544543,0.9031666666666667,0.9035041394566722
13,0.18204712552494473,0.9306666666666666,0.9305598673531087,0.30874972927570343,0.8955,0.8951891607256227
14,0.17166953772085683,0.9360740740740741,0.9359771731100134,0.2845100386142731,0.9068333333333334,0.9070298854357649
15,0.16250588881969452,0.9387222222222222,0.9386157784547489,0.2878605411450068,0.9028333333333334,0.9030117653298504
16,0.1579227552987911,0.9409259259259259,0.9408498684097305,0.2896942447026571,0.9046666666666666,0.9044007884779163
