epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1
1,0.8581924658704687,0.6955740740740741,0.6914996215301725,0.5077000644207,0.8191666666666667,0.8181442151025446
2,0.46455802968696314,0.8327777777777777,0.8304299478397505,0.4252363550662994,0.8496666666666667,0.8494562842112654
3,0.4075696532196469,0.8527592592592592,0.8512396479261897,0.37885857518514,0.8661666666666666,0.8669247990027393
4,0.37394210799535116,0.8659444444444444,0.8648915598425303,0.364419890165329,0.8716666666666667,0.871380607251964
5,0.35273387112440885,0.8734259259259259,0.8727974404052791,0.3419080588022868,0.8766666666666667,0.8757593310065823
6,0.3374267901491236,0.8771111111111111,0.8765576856306065,0.34249862750371296,0.8761666666666666,0.8753275294222312
7,0.3218536142949705,0.8817037037037037,0.8812279458925223,0.33094541891415913,0.8815,0.88077708780655
8,0.3129229171894215,0.8870555555555556,0.8866824686212645,0.3152104289929072,0.8895,0.8889355529803081
9,0.3040579860916844,0.8896296296296297,0.8892728573394809,0.30041057598590853,0.8933333333333333,0.8928983995558587
10,0.2937190913226869,0.8916296296296297,0.8912878840607572,0.30654465397198993,0.8896666666666667,0.8894592748608929
11,0.2871763571368323,0.8957777777777778,0.8954315519554346,0.30879728043079374,0.8885,0.8881519088634857
12,0.2801024224758148,0.8976851851851851,0.897354669794793,0.2902790615558624,0.8966666666666666,0.8967079763136286
13,0.27295347377547513,0.8998148148148148,0.8995214889011344,0.29620476214090985,0.8973333333333333,0.897599186588463
14,0.266887480267772,0.9035,0.9032483008485368,0.3054722760518392,0.8915,0.8898334771542407
15,0.26206032565787984,0.9035555555555556,0.9032697463166326,0.28465906528631846,0.898,0.8981151788280556
16,0.25837685386339826,0.9061851851851852,0.9059453723840007,0.2829574198325475,0.9008333333333334,0.9007451811898426
