epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1
1,1.0851089809205796,0.6180925925925926,0.613667828534268,0.599806769768397,0.7881666666666667,0.7854202898572805
2,0.5435613447913417,0.8054259259259259,0.8027047178000274,0.4888831276893616,0.8278333333333333,0.827608210009225
3,0.48269098139692235,0.8252962962962963,0.8226668617733152,0.4452780751387278,0.8376666666666667,0.8356619222309412
4,0.4474743703118077,0.8359629629629629,0.8335237963521742,0.43188536636034647,0.845,0.844905564209399
5,0.42436904859542846,0.8451481481481481,0.8432818057831278,0.4052247436841329,0.8498333333333333,0.8482231204136227
6,0.4044139799806807,0.850462962962963,0.8486402784501861,0.39761410077412923,0.8613333333333333,0.8605390107147235
7,0.3881174849845745,0.8569629629629629,0.8555066015308521,0.4121657795111338,0.852,0.8504622020142527
8,0.37414245963979653,0.8623518518518518,0.8609709917392733,0.35466644636789957,0.867,0.8663160502968184
9,0.361332868664353,0.8672407407407408,0.8661065714613401,0.3676870679855347,0.8681666666666666,0.8670554592139904
10,0.3479326982498169,0.8716481481481482,0.8705119010495006,0.3652982722123464,0.8683333333333333,0.8656878532130132
11,0.3416280239864632,0.8750925925925926,0.8740450869801139,0.34881440234184263,0.872,0.8731384668395827
12,0.3342211172580719,0.8753703703703704,0.8743340987126711,0.34499236989021304,0.8728333333333333,0.8722493899766709
13,0.32423721098899844,0.8803518518518518,0.8795421436496698,0.3310304475227992,0.8831666666666667,0.882339097679482
14,0.319823273340861,0.8819814814814815,0.8810461654400132,0.3311625688076019,0.881,0.8800068023626526
15,0.3131226053856037,0.8846111111111111,0.8838390531202762,0.32700483878453573,0.88,0.8800064834597835
16,0.31002099298989333,0.8852037037037037,0.8844495925976341,0.31440507459640504,0.8836666666666667,0.8829928046662687
