epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1
1,0.574031863866029,0.800074074074074,0.7983713091576766,0.4372509147326151,0.8515,0.8499023156733141
2,0.4539856933929302,0.8413148148148148,0.8405152805741111,0.4323664548397064,0.8501666666666666,0.8472370029661047
3,0.4342810983657837,0.8492222222222222,0.8485726864200883,0.4048717346986135,0.862,0.8619922741472393
4,0.4213672236424905,0.8534074074074074,0.8526280459485008,0.4109240825176239,0.8566666666666667,0.855781276715269
5,0.4149627766079373,0.8564444444444445,0.8557465499577359,0.3980408036708832,0.8635,0.8619317982706202
6,0.40871491982318736,0.8575925925925926,0.8568375184298823,0.39831489411989845,0.8623333333333333,0.8618048543994231
7,0.4056385275787777,0.8583148148148149,0.8576028954813113,0.4079681352774302,0.8595,0.8602671983072343
8,0.3993144634211505,0.861037037037037,0.860360989627995,0.39401425735155743,0.8651666666666666,0.8631154389237776
9,0.3981299258956203,0.8617222222222222,0.861024679005778,0.3932366489569346,0.8648333333333333,0.8641346709449446
10,0.3943007950517866,0.8617407407407407,0.8610474007642288,0.3993087201913198,0.8615,0.8602005826982303
11,0.3946834685184337,0.8610740740740741,0.8604072433785885,0.40617964426676434,0.8591666666666666,0.8601615741197239
12,0.3916722621034693,0.8631666666666666,0.8624687375922587,0.3886261241436005,0.8653333333333333,0.8657907776173019
13,0.3887146005365584,0.8648333333333333,0.864207205279562,0.40392314167817434,0.8593333333333333,0.8585167204843414
14,0.3873730667961968,0.8650925925925926,0.8644043094081768,0.3924708210627238,0.8655,0.8642625750446877
15,0.38673585589726767,0.865462962962963,0.864778423407134,0.39078329277038576,0.8631666666666666,0.8626407273069174
16,0.38556330155443264,0.8644444444444445,0.8637546545504465,0.4002714147567749,0.8601666666666666,0.8577280351073332
