epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1
1,0.5444016812377506,0.8056481481481481,0.8026140802782227,0.3789383893013,0.859,0.8517097025962052
2,0.3542072612532863,0.8727407407407407,0.8719767155166306,0.3028475516239802,0.8893333333333333,0.8886268775693965
3,0.3081727642703939,0.8882407407407408,0.8877629307168309,0.2633158377408981,0.9006666666666666,0.8998985418078476
4,0.27471554470062254,0.9013148148148148,0.9009683413667087,0.2617580244143804,0.9025,0.9035415890987375
5,0.25200175973662625,0.9088148148148149,0.9084941895128049,0.24401357372601826,0.9091666666666667,0.9079072426970397
6,0.23528903810183208,0.9141111111111111,0.9138424543991792,0.23198148183027903,0.9136666666666666,0.9130255821094636
7,0.21756443949540455,0.9193888888888889,0.9191142650752753,0.23073595611254374,0.9115,0.9121790111242362
8,0.2064867924672586,0.9249444444444445,0.9247235068396156,0.22504501096407573,0.9175,0.9163777804485622
9,0.19317749614185756,0.9297962962962963,0.9295717659387558,0.22182059850295385,0.9211666666666667,0.920077703613814
10,0.18177061488010265,0.9336111111111111,0.9334107351971722,0.2231016416947047,0.9166666666666666,0.915543976338175
11,0.171277734791791,0.9372222222222222,0.9370333446924807,0.24205866022904715,0.9115,0.9128779335232062
12,0.16368186741405064,0.9389814814814815,0.9388346285264522,0.22788958231608072,0.9165,0.9163832059727784
13,0.15205788120517025,0.9435740740740741,0.9434549908170828,0.22349639217058817,0.9205,0.921048144268234
14,0.1448161672088835,0.9459814814814815,0.9458663826586804,0.22869162038962046,0.9226666666666666,0.9232575743215984
15,0.13273878703735492,0.9515925925925925,0.951523599045877,0.2158273431857427,0.9228333333333333,0.9228507177786994
16,0.12864307609531614,0.9530925925925926,0.9530048644926694,0.22140005648136138,0.9228333333333333,0.9219446160611747
